time,amplitude
0.0,1.1183993925396092
0.02,0.4138365727526497
0.04,-0.08482394803543382
0.06,0.060355806630806905
0.08,0.1509888003829246
0.1,0.16960981128463992
0.12,0.1941497901488012
0.14,0.23409019948147175
0.16,0.29272267002227575
0.18,0.36865130459021556
0.2,0.448530048510194
0.22,0.5129911975294192
0.24,0.5462241774496219
0.26,0.5359016500678521
0.28,0.4829693554361714
0.3,0.407791868046202
0.32,0.3286191620721983
0.34,0.2594727222170834
0.36,0.20996065213637083
0.38,0.18075823565161028
0.4,0.16602453407911172
0.42,0.1605979999763248
0.44,0.16036279592279534
0.46,0.16230542716082716
0.48,0.16508327424467992
0.5,0.16811947596690796
0.52,0.1711885718761725
0.54,0.1744616517370054
0.56,0.17841646850718246
0.58,0.18503040274288854
0.6,0.20342369031737836
0.62,0.2433823788909538
0.64,0.31320720089267934
0.66,0.3920920080050624
0.68,0.43472554636480704
0.7,0.41218152560175464
0.72,0.3401772564721508
0.74,0.2682059041469396
0.76,0.22353614162332922
0.78,0.20075994502136554
0.8,0.12884553319982697
0.82,0.09127683602688882
0.84,0.6708652548184953
0.86,1.1410532303118506
0.88,0.33720336449161264
0.9,-0.044387509499696
0.92,0.12272206804026044
0.94,0.20123669706020755
0.96,0.21947841909853336
0.98,0.24468409255829354
1.0,0.28495509018138454
1.02,0.34343983724573274
1.04,0.4195433644642907
1.06,0.4992034250115854
1.08,0.5652008345626909
1.1,0.6025396472300462
1.12,0.598371536145003
1.14,0.5509495190267352
1.16,0.47861428187636545
1.18,0.39900911064828826
1.2,0.3264277971280472
1.22,0.27170849602195757
1.24,0.23760078099250853
1.26,0.2189778320062691
1.28,0.21087334758382847
1.3,0.20906394726372013
1.32,0.21010195578853302
1.34,0.21218243393809505
1.36,0.21470747868949558
1.38,0.21734563318870628
1.4,0.22005154501627278
1.42,0.22314115077880986
1.44,0.2277063661708021
1.46,0.23785222704795095
1.48,0.2628131614220009
1.5,0.3147928226567298
1.52,0.3903696132989068
1.54,0.46146809037714637
1.56,0.48147742687187883
1.58,0.4379372726292503
1.6,0.35939383983081225
1.62,0.2908414992554359
1.64,0.2534020083695676
1.66,0.22804745787410338
1.68,0.13323324244961812
1.7,0.16463330327037948
1.72,0.8666522488838375
1.74,1.1338997496775605
1.76,0.27332034255228466
1.78,0.027237447605822293
1.8,0.1937711794958205
1.82,0.2474642061873102
1.84,0.26240129774711013
1.86,0.28780457302281853
1.88,0.3295539067368017
1.9,0.3902996345457946
1.92,0.4648470650476213
1.94,0.5395808679586882
1.96,0.597749613899043
1.98,0.6202391207946247
2.0,0.5986402778601794
2.02,0.5401623770305929
2.04,0.4591168288968583
2.06,0.37619642140795384
2.08,0.30769318987004773
2.1,0.2588733528519215
2.12,0.22964364512722246
2.14,0.21476405125552775
2.16,0.2082266032872864
2.18,0.20620440658239328
2.2,0.20610934006422937
2.22,0.20678969041254308
2.24,0.20782322613813656
2.26,0.20877297564985844
2.28,0.20980665954930716
2.3,0.21177887466952117
2.32,0.21677552372059877
2.34,0.2330395226197545
2.36,0.27158468206133346
2.38,0.3398545821395204
2.4,0.413943446183872
2.42,0.45316496407004914
2.44,0.4236081043761682
2.46,0.34937299483845624
2.48,0.2724367773761916
2.5,0.22951577699875883
2.52,0.19058319177085184
2.54,0.11130464352614552
2.56,0.06736305389621679
2.58,0.630915336493785
2.6,1.1403978294531287
2.62,0.33958082486807073
2.64,-0.021297425264604347
2.66,0.1458122824512871
2.68,0.20469655088093403
2.7,0.21765987637298045
2.72,0.24196712020309633
2.74,0.28304034307575965
2.76,0.3433493937680947
2.78,0.4187351786532014
2.8,0.4918537783892881
2.82,0.5442496757141748
2.84,0.5594753007033845
2.86,0.5253755714116963
2.88,0.4575255620669389
2.9,0.37683809021269443
2.92,0.2994546757632308
2.94,0.23674504598067414
2.96,0.19499654598273786
2.98,0.1716705700182622
3.0,0.1602461080155706
3.02,0.15561968811075502
3.04,0.1542360563765613
3.06,0.15408850901104237
3.08,0.15457926185773405
3.1,0.15500929079811138
3.12,0.15517797142540718
3.14,0.1558836149349747
3.16,0.1588829147342288
3.18,0.16928656111629453
3.2,0.2003036696599114
3.22,0.2602448981230364
3.24,0.33852909864425873
3.26,0.38711366834472777
3.28,0.3722814377005178
3.3,0.30104279042157706
3.32,0.22396989377100757
3.34,0.17681743882281792
3.36,0.148694198852518
3.38,0.06283771992111069
3.4,0.14867666452993294
3.42,0.6951408057080279
3.44,0.6629883322443172
3.46,-0.07007017215244396
3.48,-0.39869481817451546
3.5,-0.22248502950990942
3.52,-0.15375752685890912
3.54,-0.13264684678926808
3.56,-0.10201697563485758
3.58,-0.053919742239554216
3.6,0.013319450536501135
3.62,0.09252784236017102
3.64,0.17181167719721094
3.66,0.2347832400092813
3.68,0.2605796458599214
3.7,0.2386397710372151
3.72,0.18330870936477192
3.74,0.11086907635209146
3.76,0.03696013120655704
3.78,-0.023424803661712554
3.8,-0.06116744387099794
3.82,-0.08077410002647643
3.84,-0.08784877669185501
3.86,-0.08708225278025025
3.88,-0.08225127417010211
3.9,-0.0759339530677786
3.92,-0.06889251885182769
3.94,-0.062269919110031845
3.96,-0.05632297982900895
3.98,-0.050225528211419165
4.0,-0.04206839267596468
4.02,-0.029326879115298087
4.04,-0.002093868025691324
4.06,0.055784568402409564
4.08,0.1372597644210145
4.1,0.20965105784104449
4.12,0.22706922359134019
4.14,0.178431911688475
4.16,0.10277560876387444
4.18,0.04449519704718268
4.2,0.016454656616069638
4.22,-0.03293076039152758
4.24,-0.05755496196342801
4.26,0.19454977282623803
4.28,0.9481833836584814
4.3,0.6303752999479305
4.32,-0.12488190194751381
4.34,-0.1190194291316593
4.36,0.033468119595767766
4.38,0.06345811277114853
4.4,0.08417176674773776
4.42,0.11788910134484096
4.44,0.16912210253986673
4.46,0.23835127309967521
4.48,0.319892704935988
4.5,0.3980348255784274
4.52,0.4523170327707994
4.54,0.469470311135081
4.56,0.4437069629657804
4.58,0.38233317151274737
4.6,0.30551707141555784
4.62,0.23038857336599602
4.64,0.16966529796207322
4.66,0.12995147214482178
4.68,0.10786819501436488
4.7,0.09835401918716312
4.72,0.0969212698505814
